id,title,source,source_url,application_url,source_url_status,application_url_status,qualityScore,trustScore,reviewStatus,rejection_reason,qualityFlags
spos-doctoral-candidate-positions-in-performance-practices-sweden,"Doctoral Candidate Positions in Performance Practices, Sweden",Scholarship Positions,https://scholarship-positions.com/doctoral-candidate-positions-in-performance-practices-sweden/2025/12/08/,https://web103.reachmee.com/ext/I005/1035/job?site=7&lang=UK&validator=9b89bead79bb7258ad55c8d75228e5b7&job_id=38892,captcha:200,soft_404:200,,,expired,expired,source_verified; application_url_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; reject_candidate
spos-phd-student-position-in-energy-and-environmental-engineering-sweden,"PhD Student Position in Energy and Environmental Engineering, Sweden",Scholarship Positions,https://scholarship-positions.com/phd-student-position-in-energy-and-environmental-engineering-sweden/2025/12/07/,https://web103.reachmee.com/ext/I018/1151/job?site=8&lang=UK&validator=2efd9e54ee423d53334ac7960e3b4e03&job_id=3504,captcha:200,soft_404:200,,,expired,expired,source_verified; application_url_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; reject_candidate
spos-postdoctoral-position-in-computational-mathematics-and-data-science-sweden,"Postdoctoral Position in Computational Mathematics and Data Science, Sweden",Scholarship Positions,https://scholarship-positions.com/postdoctoral-position-in-computational-mathematics-and-data-science-sweden/2025/12/07/,https://liu.se/en/work-at-liu/vacancies/27747,captcha:200,not_found:404,,,expired,expired,source_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; reject_candidate
spos-international-postdoctoral-position-in-neuroscience-sweden,"International Postdoctoral Position in Neuroscience, Sweden",Scholarship Positions,https://scholarship-positions.com/international-postdoctoral-position-in-neuroscience-sweden/2025/12/07/,https://umu.varbi.com/en/what:job/jobID:881177/,captcha:200,ok:200,,,expired,expired,source_verified; application_url_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; captcha_or_bot_wall; reject_candidate
spos-postdoctoral-scholarship-in-ai-driven-computational-biology-sweden,"Postdoctoral Scholarship in AI-driven Computational Biology, Sweden",Scholarship Positions,https://scholarship-positions.com/postdoctoral-scholarship-in-ai-driven-computational-biology-sweden/2025/12/05/,https://www.umu.se/en/work-with-us/postdoctoral-scholarships/postdoctoral-scholarship-2-years-in-ai-driven-computational-biology_882625/,captcha:200,not_found:404,,,expired,expired,source_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; reject_candidate
spos-postdoctoral-position-in-aquatic-biodiversity-and-ecosystem-function-sweden,"Postdoctoral Position in Aquatic Biodiversity and Ecosystem Function, Sweden",Scholarship Positions,https://scholarship-positions.com/postdoctoral-position-in-aquatic-biodiversity-and-ecosystem-function-sweden/2025/11/30/,https://www.slu.se/en/about-slu/work-at-slu/jobs-and-vacancies/postdoktor8/,captcha:200,not_found:404,,,expired,expired,source_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; reject_candidate
spos-lund-university-postdoctoral-position-in-biomedical-engineering-sweden,"Lund University Postdoctoral Position in Biomedical Engineering, Sweden",Scholarship Positions,https://scholarship-positions.com/lund-university-postdoctoral-position-in-biomedical-engineering-sweden/2025/11/14/,https://lu.varbi.com/en/what:job/jobID:860320/type:job/where:4/apply:1,captcha:200,ok:200,,,expired,expired,source_verified; application_url_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; captcha_or_bot_wall; reject_candidate
spos-postdoctoral-fellowship-in-bioinformatics-sweden,"Postdoctoral Fellowship in Bioinformatics, Sweden",Scholarship Positions,https://scholarship-positions.com/postdoctoral-fellowship-in-bioinformatics-sweden/2025/11/13/,https://www.umu.se/jobba-hos-oss/stipendier/post-doctoral-fellowship-scholarship-in-bioinformatics-umea-university_874395/,captcha:200,not_found:404,,,expired,expired,source_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; reject_candidate
spos-hirsch-fellowship-in-sweden,Hirsch Fellowship in Sweden,Scholarship Positions,https://scholarship-positions.com/hirsch-fellowship-in-sweden/2025/11/10/,https://staff.ki.se/research-support/research-funding-economy/ki-research-grants-awards/hirsch-fellowship-spring,captcha:200,captcha:200,,,rejected,source URL broken,source_verified; application_url_verified; aggregator_source; recurring_deadline; missing_documents; has_application_instructions; broken_source_url; broken_application_url; captcha_or_bot_wall; reject_candidate
spos-postdoctoral-fellowship-in-signaling-of-mitochondrial-dna-instability-sweden,"Postdoctoral Fellowship in Signaling of Mitochondrial DNA Instability, Sweden",Scholarship Positions,https://scholarship-positions.com/postdoctoral-fellowship-in-signaling-of-mitochondrial-dna-instability-sweden/2025/10/31/,https://www.umu.se/en/work-with-us/postdoctoral-scholarships/postdoctoral-fellowship-2-years-to-study-proteins-that-maintain-mitochondrial-dna_868026/,captcha:200,not_found:404,,,expired,expired,source_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; reject_candidate
spos-postdoctoral-position-in-natural-language-processing-sweden,"Postdoctoral Position in Natural Language Processing, Sweden",Scholarship Positions,https://scholarship-positions.com/postdoctoral-position-in-natural-language-processing-sweden/2025/10/24/,https://web103.reachmee.com/ext/I003/304/apply?site=5&lang=UK&validator=a72aeedd63ec10de71e46f8d91d0d57c&ref=https%3A%2F%2Fwww.chalmers.se%2Fen%2Fdepartments%2Fphysics%2Fresearch%2Fchemical-physics%2Fvacancies-at-chemical-physics%2F&job_id=14311,captcha:200,not_found:404,,,expired,expired,source_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; reject_candidate
spos-ume-university-phd-positions-in-medical-science-with-orientation-to-molecular-bi,"Umeå University PhD Positions in Medical Science with Orientation to Molecular Biology, Sweden",Scholarship Positions,https://scholarship-positions.com/umea-university-phd-positions-in-medical-science-with-orientation-to-molecular-biology-sweden/2025/10/15/,https://www.umu.se/en/work-with-us/open-positions/two-phd-positions-in-medical-science-with-orientation-to-molecular-biology_857832/,captcha:200,not_found:404,,,expired,expired,source_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; reject_candidate
spos-postdoctoral-scholarships-within-arctic-climate-change-research-sweden,"Postdoctoral Scholarships within Arctic Climate Change Research, Sweden",Scholarship Positions,https://scholarship-positions.com/postdoctoral-scholarships-within-arctic-climate-change-research-sweden/2025/10/04/,https://www.umu.se/en/work-with-us/postdoctoral-scholarships/postdoctoral-scholarship-2-years-within-arctic-climate-change-research_862467/,captcha:200,not_found:404,,,expired,expired,source_verified; aggregator_source; missing_documents; no_application_path; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; reject_candidate
spos-postdoctoral-position-in-efficient-simulation-of-noisy-quantum-circuits-sweden,"Postdoctoral Position in Efficient Simulation of Noisy Quantum Circuits, Sweden",Scholarship Positions,https://scholarship-positions.com/postdoctoral-position-in-efficient-simulation-of-noisy-quantum-circuits-sweden/2025/10/04/,https://web103.reachmee.com/ext/I003/304/job?site=5&lang=UK&validator=a72aeedd63ec10de71e46f8d91d0d57c&ref=https%3A%2F%2Fwww.google.com%2F&job_id=13923,captcha:200,ok:200,,,expired,expired,source_verified; application_url_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; captcha_or_bot_wall; reject_candidate
spos-postdoctoral-position-in-biotechnologyprotein-biochemistry-sweden,"Postdoctoral Position in Biotechnology/Protein Biochemistry, Sweden",Scholarship Positions,https://scholarship-positions.com/postdoctoral-position-in-biotechnology-protein-biochemistry-sweden/2025/09/30/,https://web103.reachmee.com/ext/I017/1114/job?site=7&validator=87e4b706891e51f731ed44be28da8352&lang=UK&job_id=13736,captcha:200,soft_404:200,,,expired,expired,source_verified; application_url_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; reject_candidate
spos-lkab-scholarship-for-mineral-resource-engineering-sweden,"LKAB Scholarship for Mineral Resource Engineering, Sweden",Scholarship Positions,https://scholarship-positions.com/lkab-scholarship-for-mineral-resource-engineering-sweden/2025/09/23/,https://www.ltu.se/en/education/scholarship-opportunities/application-process-for-lkab-scholarship,captcha:200,ok:200,,,rejected,source URL broken,source_verified; application_url_verified; aggregator_source; recurring_deadline; missing_documents; has_application_instructions; broken_source_url; captcha_or_bot_wall; reject_candidate
spos-international-postdoctoral-position-in-hydrogen-mixing-and-combustion-sweden,"International Postdoctoral Position in Hydrogen Mixing and Combustion, Sweden",Scholarship Positions,https://scholarship-positions.com/international-postdoctoral-position-in-hydrogen-mixing-and-combustion-sweden/2025/09/18/,https://web103.reachmee.com/ext/I003/304/job?site=5&lang=UK&validator=a72aeedd63ec10de71e46f8d91d0d57c&job_id=13994,captcha:200,soft_404:200,,,expired,expired,source_verified; application_url_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; reject_candidate
spos-postdoctoral-researcher-position-in-plant-evolutionary-genomics-sweden,"Postdoctoral Researcher Position in Plant Evolutionary Genomics, Sweden",Scholarship Positions,https://scholarship-positions.com/postdoctoral-researcher-position-in-plant-evolutionary-genomics-sweden/2025/09/17/,https://web103.reachmee.com/ext/I005/1035/apply?site=7&lang=UK&validator=9b89bead79bb7258ad55c8d75228e5b7&job_id=38333,captcha:200,login_wall:200,,,expired,expired,source_verified; application_url_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; broken_application_url; login_wall; captcha_or_bot_wall; reject_candidate
spos-phd-positions-in-the-department-of-economic-history-sweden,"PhD Positions in the Department of Economic History, Sweden",Scholarship Positions,https://scholarship-positions.com/phd-positions-in-the-department-of-economic-history-sweden/2025/09/07/,https://www.uu.se/en/about-uu/join-us/jobs-and-vacancies/job-details?query=835937,captcha:200,ok:200,,,expired,expired,source_verified; application_url_verified; aggregator_source; missing_documents; expired; broken_source_url; captcha_or_bot_wall; reject_candidate
spos-seth-m-kempe-scholarship-fund-sweden,"Seth M. Kempe Scholarship Fund, Sweden",Scholarship Positions,https://scholarship-positions.com/seth-m-kempe-scholarship-fund-sweden/2025/09/06/,https://internt.slu.se/en/support-services/education/doctoral-education1/phd-student-councils/phd-council-for-shs/seth-m-kempes-stipend-fund/,captcha:200,ok:200,,,expired,expired,source_verified; application_url_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; captcha_or_bot_wall; reject_candidate
